,,янв.-22,февр.-22,мар.-22,апр.-22,мая-22,июн.-22,июл.-22,авг.-22,сент.-22,окт.-22,нояб.-22,дек.-22,янв.-23,февр.-23,мар.-23,апр.-23,мая-23,июн.-23,июл.-23,авг.-23,сент.-23,окт.-23,нояб.-23,дек.-23,янв.-24,февр.-24,мар.-24,апр.-24,мая-24,июн.-24,июл.-24,авг.-24,сент.-24,окт.-24,нояб.-24,дек.-24,янв.-25,февр.-25,мар.-25,апр.-25,мая-25,июн.-25,июл.-25,авг.-25,сент.-25,окт.-25,нояб.-25,дек.-25,янв.-26,февр.-26,мар.-26,апр.-26,мая-26,июн.-26,июл.-26,авг.-26,сент.-26,окт.-26,нояб.-26,дек.-26,янв.-27,февр.-27,мар.-27,апр.-27,мая-27,июн.-27,июл.-27,авг.-27,сент.-27,окт.-27,нояб.-27,дек.-27,янв.-28,февр.-28,мар.-28,апр.-28,мая-28,июн.-28,июл.-28,авг.-28,сент.-28,окт.-28,нояб.-28,дек.-28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЖК ""Евгеньевский""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Квартиры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Фактические оплаты по ДДУ,"8 464 737 335,46","5 670 000,00","65 649 150,00","417 278 535,89","237 850 925,00","146 630 001,55","37 386 075,00","29 624 330,00","35 996 155,00","49 394 000,00","85 643 920,10","35 814 733,00","46 159 422,00","42 301 640,00","131 162 816,74","263 222 972,18","103 768 508,00","174 203 948,00","178 577 249,00","202 122 112,72","337 368 690,31","255 132 822,00","358 350 871,00","291 927 602,00","248 517 261,00","202 812 497,00","180 839 809,74","172 941 243,00","272 549 284,00","312 539 355,00","251 032 359,00","323 187 446,00","112 853 648,00","370 286 508,00","233 633 723,00","209 112 663,00","423 200 175,00","340 676 782,00","353 181 583,50","116 602 512,23","77 648 233,00","77 362 435,00","101 412 838,00","95 056 923,50","135 884 697,00","284 655 635,00","37 513 245,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
График оплаты остатка по ДДУ,"478 670 805,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","437 274 705,00","9 802 300,00","11 836 300,00","13 487 500,00","6 270 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Выручка по контрактации ДУПТ,"319 268 019,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","9 471 200,00","10 922 948,00","16 755 219,00","19 354 309,00","19 065 143,00","17 732 960,00","18 350 710,00","13 869 564,00","24 508 100,00","17 767 150,00","21 363 552,00","5 197 400,00","330 000,00","12 275 000,00","18 903 650,00","10 229 600,00","5 604 400,00","8 905 050,00","8 972 220,00","13 822 444,00","32 332 050,00","11 809 050,00","1 726 300,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Фактические оплаты по ДУПТ,"303 979 519,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","18 352 262,00","25 238 993,00","7 016 251,00","951 575,00","35 071 822,00","23 709 836,00","23 365 964,00","18 413 800,00","12 244 300,00","14 456 320,00","160 000,00","40 000,00","19 773 332,00","14 542 350,00","16 897 200,00","6 117 650,00","5 987 540,00","9 742 680,00","31 527 194,00","16 850 600,00","3 519 850,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
График оплаты остатка по ДУПТ,"15 288 500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","15 288 500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Апартаменты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Выручка по контрактации,"7 675 541 502,23","53 373 587,90","589 141 742,54","211 786 750,00","74 347 875,00","50 076 135,00","36 037 470,00","16 590 000,00","42 558 000,00","82 110 850,10","39 772 500,00","96 008 440,00","75 877 640,00","97 914 197,94","101 976 118,00","118 376 966,00","141 061 852,00","120 484 351,00","150 038 942,00","129 347 441,00","378 086 881,00","489 802 435,74","597 256 878,01","526 545 077,00","528 722 627,00","84 543 948,00","213 805 666,00","184 725 729,00","153 152 843,00","199 682 960,00","107 717 610,00","92 134 404,00","117 345 500,00","122 697 650,00","76 361 055,00","219 191 774,00","281 823 092,00","259 892 183,00","181 312 367,00","70 413 500,00","49 867 200,00","67 910 550,00","59 975 820,00","134 084 344,00","121 878 500,00","110 664 150,00","19 065 900,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Объем контрактации, кв.м.","24 804,87","233,49","2 477,60","845,92","300,30","192,60","160,15","59,25","146,15","255,18","126,25","319,50","268,10","326,60","341,85","391,57","438,71","376,31","470,03","393,89","1 180,58","1 808,35","2 223,19","1 550,00","1 783,54","231,55","601,90","511,13","414,12","557,70","287,63","257,78","301,36","346,74","205,82","598,38","766,48","774,95","500,84","184,84","134,16","181,99","161,91","396,14","343,29","321,60","55,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Объем контрактации, шт.",1 026,11,114,39,14,8,6,3,7,11,6,13,10,13,14,17,18,16,19,17,47,83,90,65,66,10,25,21,19,21,12,9,12,13,8,22,31,31,19,5,6,8,6,14,14,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Цена за 1 кв.м.,"309 436,88","228 590,47","237 787,27","250 362,62","247 578,67","260 000,70","225 023,23","280 000,00","291 193,98","321 776,20","315 029,70","300 495,90","283 019,92","299 798,52","298 306,62","302 313,68","321 537,81","320 173,13","319 211,42","328 384,68","320 255,20","270 855,99","268 648,60","339 706,50","296 445,62","365 121,78","355 217,92","361 406,55","369 827,21","358 047,27","374 500,61","357 414,87","389 386,45","353 860,67","371 008,92","366 308,66","367 684,86","335 366,39","362 016,55","380 942,98","371 699,46","373 155,39","370 426,90","338 477,16","355 030,73","344 104,94","343 839,50",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
